ID,LABEL
BERVO:0000082,Equilibrium constant for Al(OH)3(s)+OH(-) = Al(OH)4(-)
BERVO:0000083,Equilibrium constant for Al(OH)3(s)+H2O = Al(OH)4(-)+H(+)
BERVO:0000084,Equilibrium constant for Fe(OH)3(s)+3H(+) = Fe(3+)+3H2O
BERVO:0000085,Equilibrium constant for Fe(OH)3(s) = Fe(OH)(2+)+2OH(-)
BERVO:0000086,Equilibrium constant for Fe(OH)3(s) + 2H(+)=Fe(3+)+OH(-)+H2O
BERVO:0000087,Equilibrium constant for Fe(OH)3(s) = Fe(OH)2(+)+OH(-)
BERVO:0000088,Equilibrium constant for Fe(OH)3(s)+H(+) = Fe(OH)2(+) + H2O
BERVO:0000089,Equilibrium constant for Fe(OH)3(s) = Fe(OH)3(aq)
BERVO:0000090,Equilibrium constant for Fe(OH)3(s)+OH(-) = Fe(OH)4(-)
BERVO:0000091,Equilibrium constant for Fe(OH)3(s)+H2O = Fe(OH)4(-)+H(+)
BERVO:0000092,Equilibrium constant for CaCO3(s)+H(+) = Ca(2+) + HCO3(-)
BERVO:0000093,Equilibrium constant for CaCO3(s)+H2O = Ca(2+)+OH(-)+HCO3(-)
BERVO:0000094,Equilibrium constant for CaCO3(s)+2H(+)=Ca(2+)+CO2(aq)+H2O
BERVO:0000095,Equilibrium constant for CaCO3(s)+H2O = Ca(2+)+2OH(-)+CO2(aq)
BERVO:0000096,Equilibrium constant for AlPO4(s)+H(+) = Al(3+)+HPO4(2-)
BERVO:0000097,Equilibrium constant for AlPO4(s)+H2O =Al(3+)+HPO4(2-)+OH(-)
BERVO:0000098,Equilibrium constant for AlPO4(s)+H2O =Al(OH)(2+)+HPO4(2-)
BERVO:0000099,Equilibrium constant for AlPO4(s)+H2O+OH(-)=HPO4(2-)+Al(OH)2(+)
BERVO:0000100,Equilibrium constant for AlPO4(s)+2H2O = HPO4(2-)+Al(OH)2(+)+H(+)
BERVO:0000101,Equilibrium constant for AlPO4(s)+H2O+2OH(-)=Al(OH)3(aq)+HPO4(2-)
BERVO:0000102,Equilibrium constant for AlPO4(s)+3H2O=Al(OH)3(aq)+HPO4(2-)+2H(+)
BERVO:0000103,Equilibrium constant for AlPO4(s)+H2O+3OH(-)=Al(OH)4(-)+HPO4(2-)
BERVO:0000104,Equilibrium constant for AlPO4(s)+4H2O=Al(OH)4(-)+HPO4(2-)+3H(+)
BERVO:0000105,Equilibrium constant for AlPO4(s)+2H(+)=Al(3+)+H2PO4(-)
BERVO:0000106,Equilibrium constant for AlPO4(s)+2H2O=Al(3+)+H2PO4(-)+2OH(-)
BERVO:0000107,Equilibrium constant for AlPO4(s)+2H2O=Al(OH)(2+)+H2PO4(-)+OH(-)
BERVO:0000108,Equilibrium constant for AlPO4(s)+H2O+H(+)=Al(OH)(2+)+H2PO4(-)
BERVO:0000109,Equilibrium constant for AlPO4(s)+2H2O=Al(OH)2(+)+H2PO4(-)
BERVO:0000110,Equilibrium constant for AlPO4(s)+2H2O+OH(-)=Al(OH)3(aq)+H2PO4(-)
BERVO:0000111,Equilibrium constant for AlPO4(s)+3H2O=Al(OH)3(aq)+H2PO4(-)+H(+)
BERVO:0000112,Equilibrium constant for AlPO4(s)+2H2O+2OH(-)=Al(OH)4(-)+H2PO4(-)
BERVO:0000113,Equilibrium constant for AlPO4(s)+4H2O=Al(OH)4(-)+H2PO4(-)+2H(+)
BERVO:0000114,Equilibrium constant for FePO4(s)+H(+)= Fe(3+)+HPO4(2-)
BERVO:0000115,Equilibrium constant for FePO4(s)+H2O = Fe(3+)+HPO4(2-)+OH(-)
BERVO:0000116,Equilibrium constant for FePO4(s)+H2O = Fe(OH)(2+)+HPO4(2-)
BERVO:0000117,Equilibrium constant for FePO4(s)+H2O+OH(-)=HPO4(2-)+Fe(OH)2(+)
BERVO:0000118,Equilibrium constant for FePO4(s)+2H2O = HPO4(2-)+Fe(OH)2(+)+H(+)
BERVO:0000119,Equilibrium constant for FePO4(s)+H2O+2OH(-)=Fe(OH)3(aq)+HPO4(2-)
BERVO:0000120,Equilibrium constant for FePO4(s)+3H2O=Fe(OH)3(aq)+HPO4(2-)+2H(+)
BERVO:0000121,Equilibrium constant for FePO4(s)+H2O+3OH(-)=Fe(OH)4(-)+HPO4(2-)
BERVO:0000122,Equilibrium constant for FePO4(s)+4H2O=Fe(OH)4(-)+HPO4(2-)+3H(+)
BERVO:0000123,Equilibrium constant for FePO4(s)+2H(+)=Fe(3+)+H2PO4(-)
BERVO:0000124,Equilibrium constant for FePO4(s)+2H2O =Fe(3+)+H2PO4(-)+2OH(-)
